annotation,sleep_count,duration,durationHr
sleep_quiet,0,24230.0,6.730555555555555
sleep_quiet,1,,
sleep_quiet,0,7007.0,1.946388888888889
sleep_quiet,1,,
sleep_quiet,0,29717.0,8.254722222222222
sleep_quiet,1,,
sleep_quiet,0,8263.0,2.2952777777777778
sleep_quiet,1,,
sleep_quiet,0,22688.0,6.302222222222222
sleep_quiet,1,,
sleep_quiet,0,31056.0,8.626666666666667
sleep_quiet,1,,
sleep_quiet,0,2722.0,0.7561111111111111
sleep_quiet,1,,
sleep_quiet,0,3040.0,0.8444444444444444
sleep_quiet,1,,
sleep_quiet,0,10996.0,3.0544444444444445
sleep_quiet,1,,
sleep_quiet,0,17975.0,4.993055555555555
sleep_quiet,1,,
sleep_quiet,0,10248.0,2.8466666666666667
sleep_quiet,1,,
